person_id,FullDateUSA,min_reg_id,total_platelet_donations
476126,07/01/2018,108529489,1
1520339,07/01/2018,108529482,1
50625160,07/01/2018,108527690,2
51726092,07/01/2018,108527635,1
51790957,07/01/2018,108527929,1
51794415,07/01/2018,108527978,1
51877745,07/01/2018,108527632,3
51958063,07/01/2018,108527672,2
51984521,07/01/2018,108527876,3
52034707,07/01/2018,108527967,2
52084208,07/01/2018,108527721,4
52118819,07/01/2018,108528004,1
52140261,07/01/2018,108527621,1
52318920,07/01/2018,108527824,2
52224945,07/01/2018,108530345,1
52492443,07/01/2018,108527618,3
52722991,07/01/2018,108527723,3
52871850,07/01/2018,108527658,1
52757203,07/01/2018,108527995,2
52951654,07/01/2018,108527778,2
52966158,07/01/2018,108527699,2
52982253,07/01/2018,108528059,3
53076194,07/01/2018,108527755,3
53114265,07/01/2018,108527631,2
307870,07/01/2018,108527866,2
1189109,07/01/2018,108527725,1
894569,07/01/2018,108530316,3
50109077,07/01/2018,108527788,2
50523200,07/01/2018,108527909,1
51692849,07/01/2018,108527623,5
51786891,07/01/2018,108527613,1
51805773,07/01/2018,108527627,3
51868858,07/01/2018,108527712,1
51871948,07/01/2018,108527821,3
51916395,07/01/2018,108527620,2
51931762,07/01/2018,108527695,3
51991424,07/01/2018,108527941,2
52140586,07/01/2018,108527703,3
52509135,07/01/2018,108527662,3
52610186,07/01/2018,108527935,3
52713997,07/01/2018,108527845,1
52767929,07/01/2018,108530317,1
52883720,07/01/2018,108527637,3
52886671,07/01/2018,108527686,4
52889961,07/01/2018,108527740,3
53133186,07/01/2018,108527714,3
433931,07/01/2018,108530312,1
486861,07/01/2018,108527843,2
1006894,07/01/2018,108530342,1
1760562,07/01/2018,108529484,1
50099380,07/01/2018,108527963,3
50368729,07/01/2018,108529785,1
51293747,07/01/2018,108527737,3
51741382,07/01/2018,108527734,2
51742261,07/01/2018,108527629,1
51756522,07/01/2018,108527696,2
51775794,07/01/2018,108527616,1
51796123,07/01/2018,108527742,2
51821963,07/01/2018,108527792,1
51837103,07/01/2018,108527772,2
51854335,07/01/2018,108527822,3
51863625,07/01/2018,108527619,2
51864352,07/01/2018,108527655,2
51903967,07/01/2018,108527869,1
52023849,07/01/2018,108527633,3
52024281,07/01/2018,108527853,4
52191007,07/01/2018,108527683,2
52399268,07/01/2018,108528063,1
52599934,07/01/2018,108527722,2
52755119,07/01/2018,108527780,1
52640076,07/01/2018,108527668,3
52966547,07/01/2018,108527719,3
53125694,07/01/2018,108527646,3
53108419,07/01/2018,108527782,2
53461305,07/01/2018,108527744,3
53488772,07/01/2018,108527870,3
173141,07/01/2018,108527808,3
2035792,07/01/2018,108527615,3
2149973,07/01/2018,108530315,1
50269577,07/01/2018,108529782,2
50447431,07/01/2018,108529488,1
50457109,07/01/2018,108529790,1
50866480,07/01/2018,108527807,1
51052809,07/01/2018,108527624,3
51452768,07/01/2018,108527777,1
51705613,07/01/2018,108527698,3
51707218,07/01/2018,108527862,3
51743533,07/01/2018,108527665,1
51851815,07/01/2018,108527741,3
51921337,07/01/2018,108527728,1
51942212,07/01/2018,108527684,3
52128003,07/01/2018,108527648,1
52156364,07/01/2018,108527906,3
52258710,07/01/2018,108529784,1
52692467,07/01/2018,108527675,1
52798140,07/01/2018,108527800,2
52721565,07/01/2018,108527679,2
52937389,07/01/2018,108527644,2
52958245,07/01/2018,108527704,3
52977798,07/01/2018,108527617,2
53775186,07/01/2018,108527650,3
53146655,07/01/2018,108527642,3
53158986,07/01/2018,108527776,2
53163049,07/01/2018,108527653,1
53542454,07/01/2018,108528065,1
53543977,07/01/2018,108527706,3
53745009,07/01/2018,108527666,2
53877040,07/01/2018,108529788,1
53950090,07/01/2018,108527868,3
53968874,07/01/2018,108527860,1
54089807,07/01/2018,108527803,2
54123080,07/01/2018,108527804,3
54138420,07/01/2018,108528068,2
54194891,07/01/2018,108527908,3
54167353,07/01/2018,108527663,3
54276618,07/01/2018,108527981,2
54377977,07/01/2018,108527942,2
54785226,07/01/2018,108527664,3
54793752,07/01/2018,108527933,1
54831220,07/01/2018,108527796,2
55065828,07/01/2018,108530314,1
54963533,07/01/2018,108527717,3
53602221,07/01/2018,108527819,3
53843433,07/01/2018,108527628,3
54118296,07/01/2018,108527636,3
54142328,07/01/2018,108528033,3
54217357,07/01/2018,108528067,1
54271793,07/01/2018,108527630,3
54306437,07/01/2018,108527894,1
54346640,07/01/2018,108527793,3
54459982,07/01/2018,108527928,2
54636743,07/01/2018,108530319,1
54816935,07/01/2018,108527989,2
53236052,07/01/2018,108527689,1
53345688,07/01/2018,108527640,2
53350457,07/01/2018,108527867,5
53516147,07/01/2018,108528164,1
